id;nom;prenom;photo;position;date_naissance;nombre_selections;nombre_buts_internationaux;valeur;salaire;cout_estime
1;Kansas;Samoa open-source e-commerce;Berkshire Administrator Rubber;hour pink Tasty;2022-05-10;68;90115;71030;67768;58300
2;Towels Assurance;evolve Metal;connecting ADP Chair;navigating synergize;2022-05-10;54055;24573;14536;15488;55370
3;Avon;Engineer Officer Assurance;deposit Designer;Account B2C Executive;2022-05-09;21185;20962;83225;58850;75727
4;Towels Georgia calculate;Architect Manat;Mount Home;Mongolia Direct maroon;2022-05-09;48223;9237;91845;90122;82963
5;infrastructures Steel methodical;Steel blockchains invoice;bifurcated;Checking database invoice;2022-05-09;35170;11244;75101;4931;10483
6;Fresh Generic override;schemas;Plains compress Cloned;high-level;2022-05-10;42874;20880;289;23285;45849
7;Computer Underpass;Kids matrices;Metal;Shirt open Account;2022-05-09;99908;9509;52308;37539;23181
8;recontextualize Gambia;Object-based;Practical matrix Awesome;content index;2022-05-10;21190;31728;38394;38233;75799
9;generate;feed;deposit facilitate Account;blockchains;2022-05-10;21665;3085;13457;91446;69437
10;teal Regional Street;communities;Agent payment wireless;bandwidth;2022-05-09;6784;47979;98035;24222;91013
